,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.8245,0.14177215189873418,0.8235294117647058,0.24190064794816415,0.9069540859822189
Decision Tree,0.9535,0.40875912408759124,0.8235294117647058,0.5463414634146342,0.9005830593106807
Random Forest,0.973,0.5897435897435898,0.6764705882352942,0.6301369863013698,0.9710601631957131
